33860,"Montgomery, AL",12,43741,54571,20.12
19300,"Daphne-Fairhope-Foley, AL",32,140416,182265,27.14
21640,"Eufaula, AL-GA",9,29042,27457,-7.13
13820,"Birmingham-Hoover, AL",13,70799,80237,12.52
